id,en,ar,de
gauss_1,Hey kid.,_____ ___.,
gauss_2,Who are you sir?,__ ___ _____,
gauss_3,I am one of the greatest german scientists and mathematicians ever.,___ ____ __ ____ _____ ________ _ _________ _______ ___ _______.,
gauss_4,Look around and try to guess who I am.,____ ____ _ ____ __ ____ __ ___.,
gauss_5,Did you guess yet?,__ ____ __ ____,
gauss_magnet_1,Did you discover magnets sir?,__ ___ __ _____ _______ __ ____,
gauss_magnet_2,"No, but I had an influential law in Electromagnetism - the field that studies electriciy and magnets together.",___ _ ___ ___ ___ _____ ____ __ ____ ________________ _ __ _____ _______ __________ _ ___________.,
gauss_magnet_3,"The law I made, which later became known by my name, is one of the four fundemental laws of electromagnetism, called the Maxwell Equations.",_______ ____ _______ _____ ___ _____ ______ ____ __ ______ _______ _______ ________ __ ________ _______________.,
gauss_paper_1,Is that paper yours sir?,__ ___ ______ _______ __ __ ____,
gauss_paper_2,"Yes, this is one of my many mathematical papers. I have been called the greatest mathematician of all time.",____ ____ _____ __ ______ __ _______ _______ __ ____ _________. ___ ____ _____ __ ____ _____ _________ ___ __ ______.,
gauss_paper_3,I have had contribution in every field of mathematics. I taught many students at the University of Göttingen who later became great mathematicians as well.,___ _______ __ ____ ____ _________. ___ ____ ______ __ ______ __ _____ _______ _ ______ __ _____ ______ _______ ______ ____.,
bismark_1,Welcome my boy.,____ __ ____.,
bismark_2,Who are you sir?,__ ___ _____,
bismark_3,That is for you to find out.,_____ __ _____ _____.,
bismark_4,How am I supposed to do that?,___ _____ ____,
bismark_5,Well I've dropped clues everywhere.,____ ____ __ _______.,
bismark_6,Did you guess yet?,__ ____ __ ____,
bismark_map_1,Is this map yours sir?,__ ___ _______ __ _____,
bismark_map_2,Yes it is.,___ ____ ____.,
bismark_map_3,"Too bad its wrong, these fictional countries are in Germany's place.",__ ______ ____ _____. ___ __ ____ _______ ____ ___ _____ _______.,
bismark_map_4,"Its not wrong boy, its just the map of germany before unification.",____ ____ ______ ___ _____ _______ ___ _______!,
bismark_map_5,"Germany was many different states, until I united them into one country, Germany.",_______ ____ _____ __ ______ __ ________ ________ ___ ___ ___ ________.,
bismark_map_6,"Wow, this is pretty interesting!",___ ____ ____ ________,
bismark_flag_1,"Sir, what flag is this? I have never seen it although I'm good with flags.",_____ ___ __ ____ ____ ___ ____ ______ __ _______ _ ____ __ __ ___ _____ ____.,
bismark_flag_2,"This is the flag of the state I was born in, Prussia.",___ ___ _______ ____ ____ _____ ______.,
bismark_flag_3,I have Never heard of it.,__ ____ ___ ____.,
bismark_flag_4,It is part of germany now!,_____ ___ __ _______ ____!,
bach_1,hello there kid.,_____ __ ___.,
bach_2,"Hi sir, Who are you sir?",_____ __ ____ __ ____,
bach_3,I am a famous german composer.,___ ____ ______ ______ _____.,
